Cutoff,Time
1.02,79.6
1.04,51.0
1.06,51.3
1.08,50.3
1.1,50.1
1.12,50.1
1.14,50.3
1.16,50.1
1.18,50.3
1.2,50.0
1.22,50.6
1.24,50.4
1.26,50.6
1.28,50.3
1.3,49.8
1.32,50.1
1.34,50.3
1.36,50.4
1.38,49.9
1.4,50.4
1.42,54.0
1.44,51.5
1.46,50.3
1.48,50.0
1.5,50.3
1.52,50.3
1.54,51.6
1.56,50.3
1.58,55.3
1.6,51.6
1.62,50.2
1.64,50.5
1.66,50.2
1.68,50.3
1.7,50.0
1.72,50.4
1.74,50.3
1.76,50.3
1.78,50.3
1.8,50.5
1.82,50.5
1.84,50.4
1.86,50.5
1.88,50.0
1.9,50.4
1.92,50.0
1.94,50.1
1.96,49.7
1.98,49.9
2.0,49.8
